location_id;postal_code
1909;J7Z7A3
3000002;G8Y6K5
3000003;J3Y7B1
3000004;G0S2V0
3000005;J2G9B3
3000006;H4B2Z6
3000007;G7H5G3
3000008;J3V6B4
3000009;J3V6B6
3000011;J0K2S0
3000012;H7T1S2
3000013;H3A2Z8
3000014;H4T1M8
3000015;H7T0H4
3000016;H3A3C8
3000017;J4G2M8
3000018;H3A2W5
3000019;J5W1R7
3000020;H3N1V4
3000021;J3V6R7
3000022;G2E5H5
3000023;J6X4J8
